_id,price,status,budget,platforms,docs,keyFeatures,created,startDate,price,stale
ObjectId(546f4b68e1641202007d31c8),570000,done,,,,"[{""descriptions"":[""Allow a user specify a CSV file""],""title"":""CSV Upload/Parsing""},{""descriptions"":[""Replicate email aspect of the plugin functionality by iterating through entries in the CSV file provided"",""Simple button for triggering send""],""title"":""Submit a letter per entry in the CSV file via the Sunlight API""}]",2014-11-21T14:25:44.000Z,2015-02-25T04:28:03.844Z,570000,
ObjectId(54738d2440b8e10200dad6b2),715000,done,7,,"[{""isCloseable"":true,""isOpenByUser"":{},""isOpenDefault"":true,""isValid"":true,""name"":""Work Proposal"",""subType"":""proposal"",""type"":""system"",""uploaderName"":""""},{""isCloseable"":true,""isOpenByUser"":{},""isOpenDefault"":false,""isValid"":true,""name"":""Work Contract"",""subType"":""contract"",""type"":""system"",""uploaderName"":""""},{""isCloseable"":false,""isOpenByUser"":{},""isOpenDefault"":true,""isValid"":1,""name"":""Milestones"",""subType"":""progress"",""type"":""system"",""uploaderName"":""""}]",[],2014-11-24T19:55:16.000Z,2015-02-24T07:55:49.494Z,715000,%!s(bool=true)
ObjectId(547628c127d7eb0200c93dee),600000,done,10,,,[],2014-11-26T19:23:45.000Z,2015-02-24T07:56:53.256Z,600000,
ObjectId(54a9c0c6820c260200aae9cf),115000,done,1000,,,[],2015-01-04T22:37:58.000Z,2015-02-24T08:02:20.001Z,115000,
ObjectId(54cab350aed03d03009baf0e),2000000,done,,,"[{""isCloseable"":true,""isOpenByUser"":{},""isOpenDefault"":true,""isValid"":true,""name"":""Work Proposal"",""subType"":""proposal"",""type"":""system"",""uploaderName"":""""},{""isCloseable"":true,""isOpenByUser"":{},""isOpenDefault"":false,""isValid"":true,""name"":""Work Contract"",""subType"":""contract"",""type"":""system"",""uploaderName"":""""},{""isCloseable"":false,""isOpenByUser"":{},""isOpenDefault"":true,""isValid"":4,""name"":""Milestones"",""subType"":""progress"",""type"":""system"",""uploaderName"":""""}]","[{""descriptions"":[],""title"":""Front-end (landing page / how it works / signup / accounts)""},{""descriptions"":[""Relevant KPI's: Ad spend, revenue, clicks, bookings, conversion rate (bookings/clicks), commission rate (revenue/spend)"",""Filterably by: Property, Region, Meta, Global"",""Viewable by Date range or weekly, monthly, yearly"",""Day type eg weekends, non-weekends""],""title"":""ROI Reporting dashboard""},{""descriptions"":[""Can start, stop or edit campaign sizes"",""Budget management by property, meta, meta region or global""],""title"":""Budget management dashboard""},{""descriptions"":[""Automatic campaign optimization of cost per click""],""title"":""Real-time bidding engine""},{""descriptions"":[],""title"":""CRS Integration""},{""descriptions"":[""Credit card required for signup"",""Setup fee charged upon signing of agreement"",""Monthly fee charged 30 days after setup completion \u0026 monthly thereafter"",""Charge card for ad budget spend"",""If the client is a chain, CPC billing will be handled by the metasearch engine except  when the metasearch engine is Google HPA"",""If the client is an individual property, CPC billing will be handled by the customer  regardless of metasearch engine"",""Ad payment system similar to Adwords""],""title"":""Payments""},{""descriptions"":[""User can set ROI targets \u0026 receive email alerts when those targets aren’t met""],""title"":""Alerts for low-ROI campaigns""},{""descriptions"":[],""title"":""Meta-search integration for Google HPA, Tripadvisor, Kayak, Trivago, Minube""},{""descriptions"":[],""title"":""Ability to export ROI data to Excel""},{""descriptions"":[],""title"":""Product documentation for customers, documentation in code""},{""descriptions"":[],""title"":""Coordination with design""}]",2015-01-29T22:25:20.169Z,2015-01-29T22:25:20.169Z,2000000,%!s(bool=true)
ObjectId(54dc226f5c058e030068b19e),60000,done,,,,[],2015-02-12T03:47:59.165Z,2015-02-12T03:47:59.165Z,60000,%!s(bool=true)
ObjectId(54e7f4ae0021730300d75a7c),0,ready,,,,[],2015-02-21T02:59:58.497Z,2015-02-21T02:59:58.497Z,0,%!s(bool=true)
ObjectId(54eccc309b60000300cd26aa),1200000,ready,,,"[{""isCloseable"":true,""isOpenByUser"":{},""isOpenDefault"":true,""isValid"":true,""name"":""Work Proposal"",""subType"":""proposal"",""type"":""system"",""uploaderName"":""""},{""isCloseable"":true,""isOpenByUser"":{},""isOpenDefault"":false,""isValid"":true,""name"":""Work Contract"",""subType"":""contract"",""type"":""system"",""uploaderName"":""""}]","[{""descriptions"":[""capture a public ssh key into a user profile"",""include the ssh key into the cluster""],""display"":""Login \u0026 Accounts"",""title"":""Login \u0026 Accounts""},{""descriptions"":[""Basic interaction with management apis using the key from the profile""],""display"":""Cluster Management"",""title"":""Cluster Management""},{""descriptions"":[""Stripe (Credit Card) payments initially"",""Membership subscriptions. Users can't use the app without an active subscription""],""display"":""Payments"",""title"":""Payments""}]",2015-02-24T19:08:32.413Z,2015-02-24T19:08:32.413Z,1200000,%!s(bool=true)
ObjectId(54ed1233b2879a03004319ff),1500000,done,,[],"[{""isCloseable"":true,""isOpenDefault"":true,""isValid"":true,""name"":""Work Proposal"",""subType"":""proposal"",""type"":""system"",""uploaderName"":""""},{""isCloseable"":true,""isOpenByUser"":{""54ed1232b2879a03004319fe"":true},""isOpenDefault"":false,""isValid"":true,""name"":""Work Contract"",""subType"":""contract"",""type"":""system"",""uploaderName"":""""},{""isCloseable"":false,""isOpenDefault"":true,""isValid"":5,""name"":""Milestones"",""subType"":""progress"",""type"":""system"",""uploaderName"":""""},{""isCloseable"":true,""isOpenByUser"":{""545bbbdd67c0a9020018a36b"":true},""isOpenDefault"":false,""isValid"":true,""name"":""Screen Shot 2015-06-08 at 4.56.19 PM.png"",""subType"":""image"",""type"":""attachment"",""uploaderName"":""Todd Saunders"",""url"":""https://www.filepicker.io/api/file/L7sQnaMjQqCtAUg2OdTD""},{""isCloseable"":true,""isOpenByUser"":{""545bbbdd67c0a9020018a36b"":true},""isOpenDefault"":false,""isValid"":true,""name"":""IMG_3475.PNG"",""subType"":""image"",""type"":""attachment"",""uploaderName"":""Todd Saunders"",""url"":""https://www.filepicker.io/api/file/UUMLZH29SoCYs9SiCUOq""},{""isCloseable"":true,""isOpenByUser"":{""545bbbdd67c0a9020018a36b"":true},""isOpenDefault"":false,""isValid"":true,""name"":""Screen Shot 2015-06-24 at 6.55.01 PM.png"",""subType"":""image"",""type"":""attachment"",""uploaderName"":""Todd Saunders"",""url"":""https://www.filepicker.io/api/file/p9tUfjgXSn6oiuMTqZfm""},{""isCloseable"":true,""isOpenByUser"":{""54ed1232b2879a03004319fe"":true},""isOpenDefault"":false,""isValid"":true,""name"":""addtesters.png"",""subType"":""image"",""type"":""attachment"",""uploaderName"":""Debo Olaosebikan"",""url"":""https://www.filepicker.io/api/file/KbpBEN0wQq1TeS0qvdMf""},{""isCloseable"":true,""isOpenDefault"":false,""isValid"":true,""name"":""envelope.png"",""subType"":""image"",""type"":""attachment"",""uploaderName"":""Todd Saunders"",""url"":""https://www.filepicker.io/api/file/BbAW98qAS7eFJcgGuVbV""},{""isCloseable"":true,""isOpenByUser"":{""545bbbdd67c0a9020018a36b"":true},""isOpenDefault"":false,""isValid"":true,""name"":""Screen Shot 2015-06-24 at 7.07.14 PM.png"",""subType"":""image"",""type"":""attachment"",""uploaderName"":""Todd Saunders"",""url"":""https://www.filepicker.io/api/file/Gv1VFINzRBWaUsdUUgBS""},{""isCloseable"":true,""isOpenByUser"":{""545bbbdd67c0a9020018a36b"":true,""54ed1232b2879a03004319fe"":true},""isOpenDefault"":false,""isValid"":true,""name"":""adhawkroles.png"",""subType"":""image"",""type"":""attachment"",""uploaderName"":""Debo Olaosebikan"",""url"":""https://www.filepicker.io/api/file/I2GtaLLdRVezTsbQQN6b""},{""isCloseable"":true,""isOpenByUser"":{""545bbbdd67c0a9020018a36b"":true},""isOpenDefault"":false,""isValid"":true,""name"":""bug1.png"",""subType"":""image"",""type"":""attachment"",""uploaderName"":""Todd Saunders"",""url"":""https://www.filepicker.io/api/file/Uv6QQyi6QAiaofquXW2j""},{""isCloseable"":true,""isOpenByUser"":{""545bbbdd67c0a9020018a36b"":true},""isOpenDefault"":false,""isValid"":true,""name"":""bug2.png"",""subType"":""image"",""type"":""attachment"",""uploaderName"":""Todd Saunders"",""url"":""https://www.filepicker.io/api/file/PqCnYRs1TDm0dGuBPutj""},{""isCloseable"":true,""isOpenByUser"":{""545bbbdd67c0a9020018a36b"":true},""isOpenDefault"":false,""isValid"":true,""name"":""bug3.png"",""subType"":""image"",""type"":""attachment"",""uploaderName"":""Todd Saunders"",""url"":""https://www.filepicker.io/api/file/4o9ySizBSluT5qOGQHOy""}]","[{""descriptions"":[""Signup, login""],""title"":""Landing page""},{""descriptions"":[""Can link up Facebook, Bing, and Google accounts""],""title"":""Onboarding flow""},{""descriptions"":[""Can link or unlink ad accounts""],""title"":""Account settings""},{""descriptions"":[""Should be as realtime as possible given API limitations"",""Color code campaign performance data so customers know how they're doing against average industry benchmarks"",""View data in aggregate or broken out by platform (web/mobile) or campaign"",""Ability to download or email campaign reports in nice email template""],""title"":""Reporting of campaign performance""},{""descriptions"":[""Can invite others to access your data""],""title"":""Support for teams""},{""descriptions"":[""We will integrate a UI you receive from another party"",""This quote includes a simple developer-created UI intended to cleanly showcase that app is fully functional""],""title"":""Design integration""},{""descriptions"":[""Google: https://developers.google.com/adwords/api/"",""Facebook: https://developers.facebook.com/docs/marketing-apis""],""title"":""API integrations""}]",2015-02-25T00:07:15.171Z,2015-03-03T08:13:35.457Z,1500000,%!s(bool=true)
ObjectId(54ee4119a9b9ce0300c69daa),400000,done,,,,[],2015-02-25T21:39:37.662Z,2015-02-25T21:39:37.662Z,400000,
ObjectId(54ef97799a637a0300d4f0d9),1000000,done,,[],"[{""isCloseable"":true,""isOpenByUser"":{},""isOpenDefault"":true,""isValid"":true,""name"":""Work Proposal"",""subType"":""proposal"",""type"":""system"",""uploaderName"":""""},{""isCloseable"":true,""isOpenByUser"":{},""isOpenDefault"":false,""isValid"":true,""name"":""Work Contract"",""subType"":""contract"",""type"":""system"",""uploaderName"":""""},{""isCloseable"":false,""isOpenByUser"":{},""isOpenDefault"":true,""isValid"":1,""name"":""Milestones"",""subType"":""progress"",""type"":""system"",""uploaderName"":""""}]","[{""descriptions"":[""Phone detects when user is walking and asks to open the app on Watch or automatically opens it"",""App serves up turf data to the Watch""],""title"":""iPhone app connection""},{""descriptions"":[""Shows map of where you are, overlays for where turfs are"",""User can tap on turfs to see their points vs their rivals"",""Simple HUD""],""title"":""Turfs screen""},{""descriptions"":[""Shows total points, walking time, distance, and your path"",""Simple HUD \u0026 path overlay on the map""],""title"":""Live tracking""},{""descriptions"":[],""title"":""Integration of UI assets from existing game""}]",2015-02-26T22:00:25.857Z,2015-02-26T22:00:25.857Z,1000000,
ObjectId(54ef9c229a637a0300d4f0dc),120000,ready,,,"[{""isCloseable"":true,""isOpenByUser"":{},""isOpenDefault"":true,""isValid"":true,""name"":""Work Proposal"",""subType"":""proposal"",""type"":""system"",""uploaderName"":""""},{""isCloseable"":true,""isOpenByUser"":{},""isOpenDefault"":false,""isValid"":true,""name"":""Work Contract"",""subType"":""contract"",""type"":""system"",""uploaderName"":""""}]","[{""descriptions"":[],""display"":""Main Pages specified to be specified by client"",""title"":""Main Pages specified to be specified by client""},{""descriptions"":[],""display"":""Standard wordpress install/deployment to provided server"",""title"":""Standard wordpress install/deployment to provided server""}]",2015-02-26T22:20:18.874Z,2015-02-26T22:20:18.874Z,120000,%!s(bool=true)
ObjectId(54efb0f2a8d1f30300907391),400000,done,,[],"[{""isCloseable"":true,""isOpenDefault"":true,""isValid"":true,""name"":""Work Proposal"",""subType"":""proposal"",""type"":""system"",""uploaderName"":""""},{""isCloseable"":true,""isOpenDefault"":false,""isValid"":true,""name"":""Work Contract"",""subType"":""contract"",""type"":""system"",""uploaderName"":""""},{""isCloseable"":false,""isOpenDefault"":true,""isValid"":4,""name"":""Milestones"",""subType"":""progress"",""type"":""system"",""uploaderName"":""""}]","[{""descriptions"":[],""title"":""Generate a gallery (recursively given a set of folders)""},{""descriptions"":[],""title"":""Ensure responsive display""},{""descriptions"":[],""title"":""Customize the display based on the media type""},{""descriptions"":[],""title"":""Allow for advertising to be inserted within videos""},{""descriptions"":[],""title"":""Allow for offline access""},{""descriptions"":[],""title"":""Testing across multiple mobile browsers""}]",2015-02-26T23:49:06.276Z,2015-03-05T05:56:02.356Z,400000,
