_id,gigsterApproved,pmApproved,seApproved
ObjectId(545bbbdd67c0a9020018a36b),%!s(bool=true),%!s(bool=true),%!s(bool=false)
ObjectId(545bbf562de18b0200566959),%!s(bool=false),,
ObjectId(545bebb5225a32020006ea02),%!s(bool=false),,
ObjectId(54612d874b4db002005e60fe),%!s(bool=false),%!s(bool=true),%!s(bool=false)
ObjectId(5461495456ff0302001a253d),%!s(bool=false),,
ObjectId(54614c7f56ff0302001a2542),%!s(bool=false),,
ObjectId(5461585356ff0302001a254a),%!s(bool=false),,
ObjectId(5461555f56ff0302001a2546),%!s(bool=false),%!s(bool=false),%!s(bool=false)
ObjectId(54615b9056ff0302001a254d),%!s(bool=false),,
ObjectId(54615bcb56ff0302001a254f),%!s(bool=false),,
ObjectId(54615d9256ff0302001a2557),%!s(bool=false),,
ObjectId(5461629056ff0302001a255b),%!s(bool=false),,
ObjectId(5461650a56ff0302001a255e),%!s(bool=false),,
ObjectId(54616a0a56ff0302001a2560),%!s(bool=false),,
ObjectId(54616c3156ff0302001a2564),%!s(bool=false),,
ObjectId(54616d0e56ff0302001a2566),%!s(bool=false),,
ObjectId(5461724156ff0302001a2571),%!s(bool=false),,
ObjectId(5461773f56ff0302001a2573),%!s(bool=false),,
ObjectId(54617eb056ff0302001a2575),%!s(bool=false),,
ObjectId(54617ff456ff0302001a2577),%!s(bool=false),,
ObjectId(54618a6956ff0302001a257c),%!s(bool=false),,
ObjectId(5461921b56ff0302001a257e),%!s(bool=false),,
ObjectId(5461991256ff0302001a2581),%!s(bool=false),,
ObjectId(54619fdf56ff0302001a2584),%!s(bool=false),,
ObjectId(5461a3ed56ff0302001a2586),%!s(bool=false),,
ObjectId(5461a4fd56ff0302001a2588),%!s(bool=false),,
ObjectId(5461a7fc56ff0302001a258a),%!s(bool=false),,
ObjectId(5461aedb56ff0302001a258c),%!s(bool=false),,
ObjectId(5461b0df56ff0302001a258e),%!s(bool=false),,
ObjectId(5461b46056ff0302001a2590),%!s(bool=false),,
ObjectId(5461c81756ff0302001a2595),%!s(bool=false),,
ObjectId(5462120356ff0302001a2597),%!s(bool=false),,
ObjectId(546251b156ff0302001a259b),%!s(bool=false),,
ObjectId(5463ead045c378020049881e),%!s(bool=false),,
ObjectId(546e5c529183fd0200a40eac),%!s(bool=false),,
ObjectId(546efd3a054bc2020027745d),%!s(bool=false),,
ObjectId(546efd54054bc2020027745e),%!s(bool=false),,
ObjectId(546efdc6054bc20200277460),%!s(bool=false),,
ObjectId(546efe44054bc20200277463),%!s(bool=false),,
ObjectId(546efe6d054bc20200277466),%!s(bool=false),,
ObjectId(546efe9a054bc20200277468),%!s(bool=true),%!s(bool=false),%!s(bool=false)
ObjectId(546efea7054bc2020027746a),%!s(bool=false),,
ObjectId(546effc7051add020079c679),%!s(bool=false),,
ObjectId(546f00d9051add020079c67d),%!s(bool=false),,
ObjectId(546f033c051add020079c68b),%!s(bool=false),,
ObjectId(546f0256051add020079c686),%!s(bool=false),,
ObjectId(546f0274051add020079c688),%!s(bool=false),%!s(bool=false),%!s(bool=false)
ObjectId(546f0403051add020079c68e),%!s(bool=false),,
ObjectId(546f04730ffa490200e2a0ca),%!s(bool=false),,
ObjectId(546f04ed0ffa490200e2a0cc),%!s(bool=false),,
ObjectId(546f059d0ffa490200e2a0cf),%!s(bool=false),,
ObjectId(546f088d165cf5020078f54d),%!s(bool=false),,
ObjectId(546f098f165cf5020078f551),%!s(bool=false),,
ObjectId(546f136ff4dad50200e03c38),%!s(bool=false),,
ObjectId(546f1385f4dad50200e03c39),%!s(bool=false),,
ObjectId(546f16f7f4dad50200e03c4e),%!s(bool=false),,
ObjectId(546f173bf4dad50200e03c50),%!s(bool=false),,
ObjectId(546f19e6f4dad50200e03c53),%!s(bool=false),,
ObjectId(546f1a65f4dad50200e03c55),%!s(bool=false),,
ObjectId(546f20a6f4dad50200e03c67),%!s(bool=false),,
ObjectId(546f2258f4dad50200e03c6e),%!s(bool=false),,
ObjectId(546f2350f4dad50200e03c70),%!s(bool=false),,
ObjectId(546f2779f4dad50200e03c7d),%!s(bool=false),,
ObjectId(546f2bddf4dad50200e03c94),%!s(bool=false),,
ObjectId(546f2cd0f4dad50200e03c9a),%!s(bool=false),,
ObjectId(546f30e1f4dad50200e03cae),%!s(bool=false),,
ObjectId(546f313ff4dad50200e03cb0),%!s(bool=false),,
ObjectId(546f3277f4dad50200e03ccd),%!s(bool=false),,
ObjectId(546f37b9f4dad50200e03d03),%!s(bool=false),,
ObjectId(546f37daf4dad50200e03d06),%!s(bool=false),,
ObjectId(546f3806f4dad50200e03d09),%!s(bool=false),,
ObjectId(546f38c9f4dad50200e03d0e),%!s(bool=false),,
ObjectId(546f3977f4dad50200e03d19),%!s(bool=false),,
ObjectId(546f39d0f4dad50200e03d1c),%!s(bool=false),,
ObjectId(546f39edf4dad50200e03d1d),%!s(bool=false),,
ObjectId(546f3ba9f4dad50200e03d27),%!s(bool=false),,
ObjectId(546f3c47f4dad50200e03d2e),%!s(bool=false),,
ObjectId(546f3e55f4dad50200e03d48),%!s(bool=false),,
ObjectId(546f3fa8f4dad50200e03d62),%!s(bool=false),,
ObjectId(546f4063f4dad50200e03d69),%!s(bool=false),,
ObjectId(546f4237f4dad50200e03d75),%!s(bool=false),,
ObjectId(546f4253f4dad50200e03d76),%!s(bool=false),,
